Perfume,Marca,Acordes,Notas
Inej,French Avenue,"Cálido especiado, Amaderado, Avainillado, Dulce, Ámbar, Ron, Afrutados, Aromático, Pachulí, Atalcado","Ron, Cardamomo, Azafrán, Durazno (melocotón), Cedro de virginia, Frutos secos, Canela, Notas minerales, Siempreviva, Vainilla, Cedro del atlas, Haba tonka, Pachulí, Ládano"
Inekas Luna,Zimaya,"Iris, Atalcado, Ámbar, Violeta, Cítrico, Cuero, Terrosos, Nueces, Animálico, Balsámico","Bergamota, Naranja, Iris, Castaña, Flor de azahar del naranjo, Cuero, Ámbar"
Inekas Solis,Zimaya,"Dulce, Fresco, Amaderado, Afrutados, Avainillado, Florales, Atalcado, Floral blanco, Nueces, Cálido especiado","Pistacho (pistache), Helado, Cardamomo, Pera, Peonía, Jazmín, Frambuesa, Malvavisco (bombón), Haba tonka, Sándalo, Cedro"
Ines De La Fressange,Ines De La Fressange,"Amaderado, Dulce, Cálido especiado, Atalcado, Aldehídico","Melocotón (durazno), Aldehídos, Benjuí, Ylang-ylang, Rosa, Jazmín, Haba tonka, Sándalo, Clavel, Iris, Lirio de los valles (muguete), Bergamota, Palo de rosa brasileño"
Ines De La Fressange 2004,Ines De La Fressange,"Florales, Rosas, Cítrico, Fresco, Amaderado","White rose, Benjuí, Peonía, Pachulí, Vetiver, Mandarin orange, Lirio de los valles (muguete), Iris, Grosellas negras, Neroli, Bergamota, Almizcle blanco"
"I Never Make The Same Mistake Twice, Unless They'Re Crazy Hot",Kilian,"Afrutados, Dulce, Amaderado, Especiado suave, Rosas, Avainillado, Cítrico","Grosellas negras, Pimienta rosa, Mandarina, Pera, Ciruela, Rosa, Pachulí, Vainilla, Sándalo"
I Never Make The Same Mistake Twice Unless They Re Crazy Hot,Kilian,"Afrutados, Dulce, Amaderado, Especiado suave, Rosas","Rosa, Pachulí, Ciruela, Vainilla, Sándalo, Mandarin orange, Pera, Grosellas negras, Pimienta rosa"
Inexcusable Evil,Toskovat',"Mineral, Ahumado, Amaderado, Ozónico, Metálico, Balsámico, Acuático, Ámbar, Cálido especiado, Florales","Pólvora, Notas ozónicas, Sangre, Iodine, Flores, Bálsamo de copaiba, Cipriol (nagarmota), Madera de gaiac, Hormigón, Notas de lluvias, Incienso, Sándalo"
In Extremis,Astrophil & Stella,"Ahumado, Cuero, Amaderado, Ámbar, Balsámico, Aromático, Verde, Almizclado, Oud, Herbal","Abedul, Gálbano, Manzanilla, Angélica, Resina almáciga del lentisco, Incienso, Almizcle, Osmanto (olivo oloroso), Magnolia, Cuero, Madera de oud, Madera de gaiac, Vetiver, Ámbar gris, Pachulí, Musgo de roble"
In Extremis,Astrophil Stella,"Ahumado, Amaderado, Cuero, Ámbar, Aromático","Almizcle, Cuero, Mastic or lentisque, Madera de gaiac, Galbanum, Pachulí, Manzanilla, Musgo de roble, Incense, Osmanto (olivo oloroso), Vetiver, Oud, Angélica, Abedul, Ámbar gris, Magnolia"
Infalível Pour Femme,Primacial,"Afrutados, Dulce, Ámbar, Avainillado, Floral blanco, Atalcado, Florales, Almizclado","Durazno (melocotón), Jazmín, Manzana roja, Frambuesa, Magnolia, Rosa, Lirio de los valles (muguete), Haba tonka, Ámbar, Vainilla, Almizcle"
Infamous,Poesie,"Dulce, Avainillado, Atalcado, Balsámico, Especiado suave","Vainilla, Malvavisco (bombón), Quequito (pastelito), Azúcar glaseado [glacé]"
Infatuated,Contradictions In Ilk,"Cálido especiado, Fresco especiado, Amaderado, Oud, Ámbar","Almizcle, Natilla, Enebro, Azafrán, Haba tonka, Pimienta, Olíbano, Vainilla, Sándalo, Flor de manzana, Pera, Lavanda, Caucho, Madera de oud, Grass, Ámbar, Cedro"
Inferno,Sapphire Studios,"Fresco especiado, Tabaco, Cuero, Aromático, Ámbar, Dulce, Animálico, Cálido especiado, Amaderado, Pachulí","Tabaco, Pimienta, Bergamota, Cuero, Pimienta rosa, Geranio, Pachulí, Ambroxan, Vetiver, Ámbar"
Inferno,Tada Parfumeur,"Ámbar, Cálido especiado, Ahumado, Avainillado, Animálico, Oud, Almizclado, Acerezado, Atalcado, Dulce","Cereza, Ámbar, Humo, Especias, Vainilla, Almizcle, Castóreo, Jazmín, Tailandia oud, Benjuí de siam"
Infini,Khadlaj,"Amaderado, Afrutados, Aromático, Dulce, Cítrico, Cuero, Terrosos, Ahumado, Cálido especiado, Tropical","Piña, Bergamota, Manzana, Pachulí, Cardamomo, Vetiver, Abedul"
Infini (1970),Caron,"Fresco, Floral blanco, Aldehídico, Verde, Florales, Floral amarillo, Amaderado, Atalcado, Aromático, Iris","Aldehídos, Narciso, Jazmín, Lirio de los valles (muguete), Iris, Lila, Rosa, Nardos, Vetiver, Almizcle, Haba tonka, Sándalo, Ámbar"
Infini 1970,Caron,"Fresco, Floral blanco, Aldehídico, Verde, Florales","Almizcle, Rosa, Jazmín, Lila, Nardos, Sándalo, Haba tonka, Lirio de los valles (muguete), Iris, Aldehídos, Narcissus, Ámbar, Vetyver"
Infini 2018,Caron,"Avainillado, Dulce, Atalcado, Afrutados, Almizclado","Benjuí, Naranja, Jazmín, Vainilla, Sándalo, Pera, Pimienta rosa, Almizcle blanco"
Infini Absolute,Khadlaj,"Ámbar, Afrutados, Dulce, Almizclado, Cítrico, Aromático, Tropical, Fresco, Lavanda, Floral blanco","Piña, Limón (lima ácida), Notas marinas, Lavanda, Jazmín, Ambroxan, Almizcle, Ámbar"
Infini Elixir,Maison Alhambra,"Cálido especiado, Canela, Avainillado, Fresco especiado, Oud, Atalcado, Ámbar, Cuero, Amaderado, Animálico","Canela, Nuez moscada, Madera de oud, Sándalo, Vainilla, Cuero, Ámbar"
Infiniment,Chopard,"Cítrico, Fresco especiado, Amaderado, Florales, Atalcado","Pimienta de sichuan, Almizcle, Benjuí, Lotus, Nardos, Sándalo, Petitgrain, Bergamota, Rosa de bulgaria (rosa damascena de bulgaria)"
Infiniment Eau De Toilette,Chopard,"Florales, Acuático, Afrutados, Dulce, Fresco, Ozónico, Almizclado, Amaderado, Atalcado, Cítrico","Melón, Pera, Yuzu, Fresa, Flor de loto, Peonía, Pimienta rosa, Sándalo, Almizcle"
Infini Musk,Maison Alhambra,"Cítrico, Atalcado, Almizclado, Marino, Aromático, Verde, Floral blanco, Ámbar, Fresco, Fresco especiado","Bergamota, Notas acuáticas, Naranja tangerina, Notas verdes, Almizcle, Lirio de los valles (muguete), Violeta, Rosa, Almizcle blanco, Ámbar, Vainilla, Sándalo"
Infini Oud,Maison Alhambra,"Fresco especiado, Oud, Pachulí, Almizclado, Lavanda, Amaderado, Atalcado, Cálido especiado, Terrosos","Nuez moscada, Lavanda, Madera de oud, Pachulí, Madera de oud, Pachulí, Almizcle"
Infini Rose,Maison Alhambra,"Rosas, Florales, Ámbar, Cítrico, Especiado suave, Avainillado, Atalcado, Floral blanco, Dulce, Fresco especiado","Pimienta rosa, Bergamota, Hediona, Rosa de bulgaria (rosa damascena de bulgaria), Rosa turca, Jazmín egipcio, Ámbar, Vainilla de madagascar"
Infinita,Oriflame,"Cítrico, Floral blanco, Avainillado, Ámbar, Dulce","Jazmín, Madera de cachemira, Vainilla, Kumquat, Mandarin orange, Pimienta rosa, Ámbar"
Infinita My Sunshine,Oriflame,"Avainillado, Cítrico, Dulce, Afrutados, Floral amarillo, Amaderado, Aldehídico, Floral blanco, Aromático, Florales","Mandarina, Grosellas negras, Bergamota, Vainilla, Ylang-ylang, Jazmín, Notas solares, Haba tonka, Pachulí"
Infinite Aqua,David Beckham,"Cítrico, Florales, Fresco, Acuático, Aromático, Lavanda, Afrutados, Dulce","Nenúfar (lirio de agua), Limón (lima ácida), Lavanda, Higo"
Infinite Blue For Her,Oriflame,"Marino, Mineral, Afrutados, Acuático, Verde, Aromático, Florales, Dulce, Salado, Rosas","Pera, Notas verdes, Moras azules, Notas marinas, Flor de loto, Rosa, Notas minerales, Cedro"
Infinite Celtic,Charriol,"Fresco especiado, Aromático, Cálido especiado, Amaderado, Lavanda","Pachulí, Haba tonka, Sándalo, Pimienta bourbon, Geranio, Lavanda, Star anise, Lirio de los valles (muguete), Bergamota"
Infinite Celtic For Women,Charriol,"Dulce, Afrutados, Avainillado, Cálido especiado, Rosas","Pachulí, Rosa turca, Vainilla, Praliné, Cacao, Frutos rojos, Pera, Violeta, Pimienta rosa, Jazmín sambac, Frambuesa"
Infinite Celtic Ultimate,Charriol,"Cálido especiado, Dulce, Amaderado, Canela, Avainillado","Dates, Canela, Benjuí, Naranja, Haba tonka, Spices, Vainilla, Sándalo, Ebony, Geranio"
Infinite Definitive,Laurent Mazzone Parfums,"Verde, Aromático, Floral blanco, Fresco especiado, Balsámico, Amaderado, Lactónico","Bayas de enebro, Grosellas negras, Gálbano, Gardenia, Ámbar"
Infinite Eau De Toilette,Bentley,"Amaderado, Fresco especiado, Aromático, Cítrico, Violeta, Atalcado, Terrosos, Fresco, Cálido especiado, Lavanda","Cítricos, Cedro, Lavanda, Violeta, Pimienta bourbon, Geranio, Vetiver de haití, Ámbar gris, Pachulí"
Infinite Echo,Angeline,"Fresco especiado, Cítrico, Pachulí, Amaderado, Cálido especiado, Afrutados, Almizclado, Aromático, Terrosos, Atalcado","Bergamota, Pimienta, Pachulí, Grosellas negras, Almizcle, Ámbar"
Infinite Intense,Bentley,"Fresco especiado, Aromático, Amaderado, Cálido especiado, Ámbar, Atalcado, Violeta, Balsámico, Terrosos, Lavanda","Pimienta negra, Violeta, Lavanda, Geranio, Ámbar gris, Especias, Resina de elemí, Benjuí de siam, Nuez moscada, Vetiver de haití, Cedro, Almizcle, Pachulí"
Infinite Love,Almah Parfums,"Florales, Amaderado, Dulce, Afrutados, Ámbar","Cloves, Gardenia, Orquídea silvestre, Styrax, Jazmín, Papaya, Vetiver, Cypriol oil or nagarmotha, Frutos rojos, Lirio de agua"
Infinite Love,Andreea Rada,"Cálido especiado, Caramelo, Cítrico, Dulce, Ron, Avainillado, Amaderado, Aromático, Atalcado","Naranja, Caramelo, Ron, Cardamomo, Vainilla, Cedro, Almizcle"
Infinite Moment For Him,Avon,"Lavanda, Cálido especiado, Aromático, Amaderado, Fresco especiado","Notas amaderadas, Lavanda, Cardamomo"
Infinite Navy,Caline,"Cálido especiado, Aromático, Avainillado, Fresco especiado, Canela","Alcaravea, Canela, Haba tonka, Menta, Vainilla, Sándalo, Lavanda, Cardamomo, Bergamota, Ámbar, Cedro"
Infinite Navy,Câline,"Cálido especiado, Aromático, Avainillado, Fresco especiado, Canela, Ámbar, Verde, Lavanda, Amaderado, Cítrico","Lavanda, Menta, Cardamomo, Bergamota, Canela, Cedro, Alcaravea, Vainilla, Haba tonka, Ámbar, Sándalo"
Infinite Rich Warm,Zara,"Avainillado, Florales, Ron, Fresco, Atalcado, Dulce, Rosas","Vainilla, Ron, Peonía"
Infinite Rush,Bentley,"Amaderado, Aromático, Cítrico, Terrosos, Especiado suave, Almizclado","Pimienta rosa, Mandarina, Romero, Vetiver, Cedro, Elemí, Notas amaderadas, Musgo, Ámbar, Almizcle blanco"
Infinite Rush White Edition,Bentley,"Aromático, Cítrico, Amaderado, Fresco especiado, Almizclado","Rosa turca, Tomillo, Sándalo, Madera de cachemira, Lavanda, Albahaca, Mandarina italiana, Almizcle blanco"
Infinite Seduction For Her,Avon,"Cítrico, Fresco especiado, Avainillado, Cálido especiado, Atalcado","Cuero, Vanila, Gardenia, Pimienta, Sándalo, Naranja sanguina, Pimienta negra, Bergamota, Ámbar"
Infinite Seduction For Him,Avon,"Avainillado, Cálido especiado, Atalcado, Aromático, Cuero","Cuero, Vanila, Cardamomo, Violeta"
Infinite Shine,Lalique,"Cálido especiado, Amaderado, Rosas, Metálico, Atalcado, Cuero, Tabaco","Sándalo, Azafrán, Rosa"
Infinite Sky,Estee Lauder,"Fresco especiado, Avainillado, Cítrico, Herbal, Atalcado","Pimienta de sichuan, Vainilla de madagascar, Leatherwood"
Infinite Sky,Estée Lauder,"Fresco especiado, Avainillado, Cítrico, Herbal, Atalcado","Pimienta de sichuan, Vainilla de madagascar, Leatherwood"
Infinite Spicy By Olivier Cresp,Mercedes Benz,"Fresco especiado, Aromático, Amaderado, Cítrico, Especiado suave, Herbal, Cálido especiado, Ámbar, Anís, Almizclado","Pimienta de sichuan, Anís estrellado, Cilantro, Bayas de enebro, Cardamomo, Jengibre, Madera de cachemira, Madera de teca, Ambroxan"
Infinite Wave,Zara,"Aromático, Cítrico, Herbal, Especiado suave, Amaderado","Mandarin orange, Salvia, Vetiver"
Infinite Xtina,Christina Aguilera,"Ámbar, Amaderado, Cálido especiado, Afrutados, Atalcado, Tropical, Floral blanco, Balsámico","Guayaba, Pera verde, Mandarina, Benjuí, Jazmín, Rosa, Ámbar, Sándalo, Pachulí, Vainilla"
Infinito,Nobile 1942,"Amaderado, Aromático, Terrosos, Fresco especiado, Cálido especiado","Ciprés, Almizcle, Pachulí, Incense, Vetiver, Sándalo, Geranio, Musgo de roble, Bergamota, Cedro"
Infinitoud,House Of Bō,"Amaderado, Ámbar, Cálido especiado, Fresco especiado, Balsámico, Oud, Pachulí, Aromático, Terrosos, Ahumado","Peyote, Mirra, Vetiver, Cedro, Pimienta negra, Pachulí, Incienso, Madera de oud, Bálsamo de gurjum"
Infinitoud,House Of Bo,"Amaderado, Ámbar, Cálido especiado, Fresco especiado, Balsámico","Gurjan balsam, Pachulí, Incense, Vetiver, Peyote, Mirra, Madera de oud, Pimienta negra, Cedro"
Infinity,Montale,"Dulce, Acerezado, Cálido especiado, Tabaco, Afrutados","Cuero, Almizcle, Azafrán, Rosa, Ciruela, Nardos, Sándalo, Vetiver, Hoja de tabaco, Oud, Cardamomo, Azúcar de vainilla, Black cherry, Pimienta rosa, Ámbar, Tonka"
Infinity,We Pink,"Avainillado, Cítrico, Ámbar, Florales, Amaderado, Atalcado, Pachulí, Terrosos, Dulce, Floral blanco","Flor de la zarzamora, Naranja dulce, Limón (lima ácida), Fresia, Lirio de los valles (muguete), Jazmín, Vainilla, Ámbar, Pachulí, Cedro, Musgo"
Infinity Bloom,Anima Mundi,"Florales, Acuático, Tropical, Fresco, Dulce, Cítrico, Floral blanco, Lactónico, Afrutados","Notas acuáticas, Piña, Naranja, Frangipani (plumeria), Plumaria, Atapaima, Jazmín, Jengibre, Maracuyá (fruta de la pasión), Orquídea, Maderas exóticas, Almizcle"
Infinity Cosmik,We Pink,"Rosas, Florales, Amaderado, Afrutados, Floral blanco, Especiado suave","Grosellas negras, Rosa, Jazmín, Acácia, Maderas preciosas, Vainilla"
Infinity Crystal,We Pink,"Dulce, Florales, Floral blanco, Ámbar, Coco, Fresco, Lactónico, Almizclado, Atalcado, Nueces","Coco, Fresia, Limón siciliano (lima siciliana), Pera, Lirio de los valles (muguete), Jazmín sambac (sampaguita), Peonía, Nardos, Praliné, Ámbar, Almizcle, Musgo"
Infinity Men,Rasasi,"Amaderado, Rosas, Aromático, Fresco especiado, Lavanda, Musgoso, Almizclado, Atalcado, Terrosos, Cálido especiado","Geranio, Rosa, Lavanda silvestre, Notas amaderadas, Sándalo, Musgo de roble, Almizcle"
Infinity Plim,We Pink,"Pachulí, Dulce, Ámbar, Amaderado, Almizclado, Cálido especiado, Atalcado, Terrosos, Afrutados, Balsámico","Frambuesa, Jengibre, Bergamota, Pera, Violeta, Jazmín, Lirio de los valles (muguete), Rosa, Pachulí, Ámbar, Praliné, Almizcle"
Infinity Star,We Pink,"Cálido especiado, Amaderado, Atalcado, Pachulí, Dulce, Violeta, Aromático, Cacao, Terrosos, Afrutados","Cardamomo, Ciruela, Bergamota, Frambuesa, Cacao, Violeta, Iris, Lirio de los valles (muguete), Pachulí, Sándalo, Praliné, Almizcle"
Infinity Women,Rasasi,"Atalcado, Florales, Floral blanco, Cálido especiado, Amaderado, Afrutados, Rosas, Violeta, Iris, Almizclado","Gardenia, Ciclamen (violeta persa), Fresia, Clavo de olor, Jazmín, Violeta, Raíz de lirio, Rosa, Sándalo, Heliotropo, Frambuesa, Almizcle"
Infinity Xis,We Pink,"Cítrico, Amaderado, Fresco especiado, Atalcado, Dulce","Toronja (pomelo), Casis (grosellero negro), Flor de azahar del naranjo, Lirio de los valles (muguete), Jazmín, Rosa, Cedro, Vainilla, Almizcle, Notas balsámicas, Ámbar"
In Flames,La Rive,"Avainillado, Dulce, Amaderado, Nueces, Marino, Tropical, Afrutados, Atalcado, Coco, Aromático","Agua de mar, Avellana, Naranja, Jazmín, Frutas tropicales, Piña, Melón, Sándalo, Heliotropo, Rosa, Vainilla, Coco, Ámbar, Notas amaderadas"
Inflorescence,Byredo,"Floral blanco, Florales, Fresco, Verde, Cítrico","Fresia rosa, Rosa, Lirio de los valles (muguete), Magnolia, Jazmín"
Inflorescence (송아리),Elorea | 향수,"Floral blanco, Florales, Fresco, Afrutados, Almizclado, Atalcado","Magnolia china, Moras blancas, Flor del ciruelo, Madreselva, Lirio de los valles (muguete), Almizcle, Ámbar blanco, Sándalo"
In Flowers,Armand Basi,"Fresco, Florales, Rosas, Afrutados, Dulce","Almizcle, Peonía, Rosa, Vainilla, Passionfruit, Pera, Lirio de los valles (muguete), Bergamota, Ámbar"
Infrad Luxe,Zimaya,"Avainillado, Amaderado, Coco, Dulce, Atalcado, Caramelo, Almizclado, Lactónico, Balsámico, Tropical","Vainilla, Coco, Palo santo, Caramelo, Almizcle blanco, Sándalo"
Infrad Noir,Zimaya,"Almizclado, Oud, Cuero, Cálido especiado, Animálico, Atalcado, Aromático, Especiado suave, Cítrico, Ámbar","Pimienta rosa, Bergamota, Mandarina, Madera de oud, Davana, Ámbar, Especias, Cuero, Almizcle"
In Full Bloom,Kate Spade,"Rosas, Florales, Verde, Fresco, Amaderado, Cítrico, Ozónico, Acuático","Notas verdes, Té verde, Limón (lima ácida), Rosa de mayo, Pétalos de rosa, Flor de loto, Peonía, Madera blanca, Cedro, Durazno (melocotón)"
In Full Bloom Blush,Kate Spade,"Florales, Rosas, Fresco, Amaderado, Cítrico","Melocotón (durazno), Almizcle, Peonía, Lotus, Rose petals, Frutos rojos, Maderas blancas, Té verde, Limón (lima ácida), Cedro"
Infusao Botanica,Granado,"Verde, Aromático, Cítrico, Almizclado, Cálido especiado","Acordes verdes, Almizcle, Cachemira, Peonía, Vetiver, Cardamomo, Limón (lima ácida), Pimienta negra, Coriander"
Infuse,Akro,"Aromático, Florales, Amaderado, Afrutados, Fresco especiado","Madera de gaiac, Oolong tea, Albaricoque, Osmanto (olivo oloroso), Vetiver, Fresia, Mate, Bergamota, Magnolia, Ambroxan"
Infusion,Marks Spencer,"Florales, Avainillado, Ámbar, Floral blanco, Atalcado","Gardenia, Vainilla, Fresia, Orquídea, Ámbar"
Infusion D'Amande,Prada,"Almendrado, Avainillado, Atalcado, Dulce, Almizclado, Nueces, Florales, Afrutados, Anís, Especiado suave","Almendra amarga, Heliotropo, Almizcle, Haba tonka, Anís"
Infusion De Figue,Prada,"Afrutados, Verde, Balsámico, Aromático, Dulce, Amaderado, Cítrico, Terpénico, Amargo","Mandarina, Higo, Resina almáciga del lentisco, Gálbano"
Infusion De Fleur D'Oranger,Prada,"Floral blanco, Cítrico, Nardos, Animálico, Dulce","Neroli, Mandarina, Flor de azahar del naranjo, Jazmín, Nardos, Notas atalcadas, Serenólido"
Infusion De Fleur D'Oranger (2015),Prada,"Floral blanco, Cítrico, Nardos, Animálico, Jabonoso","Flor del naranjo tunesino, Flor de azahar del naranjo, Neroli de túnez, Jazmín sambac (sampaguita), Nardo de la india"
Infusion De Gingembre,Prada,"Fresco especiado, Fresco, Cítrico, Almizclado, Aldehídico, Aromático, Amaderado, Terrosos, Afrutados, Atalcado","Mandarina verde, Aldehídos, Jengibre, Vetiver, Almizcle"
Infusion De Mimosa,Prada,"Floral amarillo, Atalcado, Florales, Dulce, Anís, Amaderado, Especiado suave, Cítrico, Rosas, Verde","Anís, Mandarina, Mimosa, Rosa, Notas amaderadas"
Infusion De Rhubarbe,Prada,"Cítrico, Verde, Afrutados, Fresco, Aldehídico, Almizclado, Aromático, Dulce, Atalcado","Mandarina verde, Ruibarbo, Cítricos, Aldehídos, Almizcle, Almizcle blanco"
Infusion De Rose,Prada,"Rosas, Aromático, Verde, Cítrico, Fresco especiado, Cera de abeja, Florales, Amielado","Rosa turca, Rosa de bulgaria (rosa damascena de bulgaria), Menta, Yerba mate, Cera de abeja, Mandarina"
Infusion De Rose (2017),Prada,"Rosas, Cítrico, Verde, Florales, Aromático, Floral blanco","Rosa turca, Rosa de bulgaria (rosa damascena de bulgaria), Mandarina, Neroli, Gálbano"
Infusion De Rossetto,Prada,"Dulce, Afrutados, Atalcado, Violeta, Rosas, Fresco especiado, Aromático, Amielado, Cítrico, Florales","Frambuesa, Mandarina, Violeta, Geranio, Rosa, Miel, Vainilla, Almizcle"
Infusion De Santal Chai,Prada,"Cálido especiado, Lactónico, Amaderado, Atalcado, Cítrico, Aromático, Almizclado","Cardamomo, Cítricos, Té masala chai, Leche, Especias, Sándalo, Almizcle"
Infusion De Tubereuse,Prada,"Cítrico, Nardos, Floral blanco, Verde, Aromático, Animálico, Ámbar, Fresco especiado","Nardos, Petit grain, Naranja sanguina, Ládano"
Infusion De Vanille,Prada,"Avainillado, Cítrico, Atalcado, Almizclado, Ámbar, Ahumado, Fresco especiado, Floral blanco, Aromático","Vainilla, Bergamota, Humo, Angélica, Neroli, Vainilla"
Infusion De Vetiver,Prada,"Aromático, Cálido especiado, Amaderado, Terrosos, Fresco especiado, Anís, Especiado suave, Herbal","Vetiver, Estragón, Jengibre, Pimienta"
Infusion De Vetiver (2015),Prada,"Cítrico, Aromático, Fresco especiado, Amaderado, Terrosos, Fresco, Verde","Vetiver de haití, Bergamota de sicilia, Jengibre, Neroli de túnez, Lima (limón verde), Rosa turca, Cardamomo, Estragón, Tangerina italiana"
Infusion D'Homme,Prada,"Atalcado, Iris, Amaderado, Ámbar, Aromático, Terrosos, Cítrico, Verde, Violeta, Floral blanco","Neroli, Mandarina, Iris, Vetiver, Gálbano, Cedro, Notas atalcadas, Incienso de olíbano (franquincienso), Benjuí"
Infusion D Homme,Prada,"Atalcado, Iris, Amaderado, Ámbar, Aromático","Benjuí, Galbanum, Vetiver, Olíbano, Mandarin orange, Iris, Neroli, Powdery notes, Cedro"
Infusion D'Iris,Prada,"Iris, Amaderado, Atalcado, Ámbar, Cítrico, Terrosos, Aromático, Balsámico, Violeta, Floral blanco","Flor del naranjo africano, Neroli, Naranja, Mandarina, Iris, Gálbano, Resina almáciga del lentisco, Cedro de virginia, Incienso, Benjuí, Vetiver"
Infusion D Iris,Prada,"Iris, Amaderado, Ámbar, Atalcado, Cítrico","Mastic or lentisque, Benjuí, Naranja, Galbanum, Incense, Vetiver, Mandarin orange, Iris, Cedro de virginia, Neroli, Flor de azahar africana"
Infusion D'Iris (2015),Prada,"Iris, Amaderado, Atalcado, Cítrico, Violeta, Terrosos, Ámbar, Floral blanco, Florales","Iris, Neroli de túnez, Cedro, Mandarina italiana, Benjuí"
Infusion D'Iris Cèdre,Prada,"Amaderado, Iris, Ámbar, Atalcado, Violeta, Cálido especiado, Terrosos, Ahumado, Balsámico, Cítrico","Iris, Cedro, Neroli de túnez, Incienso, Benjuí"
Infusion D'Iris Eau De Parfum Absolue,Prada,"Iris, Avainillado, Atalcado, Ámbar, Balsámico, Floral blanco, Violeta, Almizclado, Aromático, Cálido especiado","Flor del naranjo africano, Neroli, Iris, Resina almáciga del lentisco, Benjuí, Vainilla, Almizcle, Haba tonka"
Infusion D Iris Eau De Parfum Absolue,Prada,"Iris, Avainillado, Atalcado, Ámbar, Balsámico","Vanille, Almizcle, Benjuí, Mastic or lentisque, Haba tonka, Iris, Neroli, Flor de azahar africana"
Infusion D'Iris Eau De Toilette,Prada,"Atalcado, Violeta, Iris, Amaderado, Verde, Floral blanco, Florales, Fresco, Terrosos","Iris, Violeta, Lirio de los valles (muguete), Cedro de virginia, Heliotropo, Gálbano"
Infusion D'Iris L'Eau D'Iris,Prada,"Floral blanco, Verde, Atalcado, Iris, Florales, Almizclado, Aromático, Amaderado, Cítrico, Fresco","Menta, Neroli de túnez, Iris, Lirio de los valles (muguete), Flor de azahar del naranjo, Flor de la adelfa rosa, Rosa, Almizcle blanco, Notas amaderadas, Vainilla"
Infusion D Iris L Eau D Iris,Prada,"Floral blanco, Verde, Atalcado, Iris, Florales","Flor de azahar del naranjo, Rosa, Menta, Vainilla, Notas amaderadas, Almizcle blanco, Lirio de los valles (muguete), Iris, Tunisian neroli, Pink nerium oleander"
Infusion D'Oeillet,Prada,"Cálido especiado, Amaderado, Florales, Ámbar, Pachulí, Balsámico, Aromático, Cítrico, Atalcado","Clavel, Styrax, Sándalo australiano, Hojas de pachulí de indonesia, Mandarina"
Infusion D'Ylang,Prada,"Floral amarillo, Amaderado, Cítrico, Dulce, Cálido especiado, Aromático, Fresco especiado, Atalcado","Bergamota, Cardamomo, Ylang-ylang, Sándalo"
Infusion D Ylang,Prada,"Floral amarillo, Amaderado, Cítrico, Dulce, Cálido especiado","Bergamota, Cardamomo, Ylang-ylang, Sándalo"
Infusion Mandarine,Prada,"Cítrico, Floral blanco, Dulce, Verde, Fresco especiado","Mandarina verde, Naranja, Cáscara de naranja, Hojas de mandarina, Flor de azahar del naranjo, Neroli, Opopónaco"
Infusion Noire,Herve Gambs Paris,"Fresco especiado, Especiado suave, Anís, Aromático, Florales, Lavanda, Amaderado, Atalcado, Herbal","Anís estrellado, Nuez moscada, Pimienta, Lavanda, Salvia, Cedro"
Infusion Velours,Ojar,"Afrutados, Dulce, Oud, Pachulí, Cálido especiado, Amaderado, Fresco especiado","Zarzamora (frambuesa negra), Pimienta negra, Canela, Frambuesa, Madera de oud, Cedro, Madera de oud, Pachulí, Incienso"
Infusion Velours Eau De Parfum,Ojar,"Afrutados, Cálido especiado, Oud, Amaderado, Fresco especiado, Dulce, Ámbar, Pachulí, Ahumado, Balsámico","Zarzamora (frambuesa negra), Pimienta negra, Canela, Madera de oud, Frambuesa, Cedro, Madera de oud, Incienso, Pachulí"
Infusão Botânica,Granado,"Aromático, Verde, Almizclado, Cítrico, Cálido especiado, Fresco, Amaderado, Florales, Atalcado, Fresco especiado","Limón (lima ácida), Pimienta negra, Cilantro, Notas verdes, Peonía, Cardamomo, Almizcle, Cachemira, Vetiver"
Ingenious Ginger,Goldfield & Banks,"Cítrico, Fresco especiado, Atalcado, Avainillado, Amaderado, Fresco, Almizclado, Ámbar","Flor de jengibre, Limón (lima ácida), Bergamota, Mandarina, Magnolia, Jazmín, Rosa, Vainilla, Ámbar, Sándalo, Cachemira, Almizcle, Pachulí"
Ingénue,Puppet Parfum,"Dulce, Atalcado, Rosas, Avainillado, Almendrado, Amaderado, Verde, Florales, Nueces, Afrutados","Rosa rosada, Notas atalcadas, Almendra, Galleta, Vainilla, Azúcar, Hierba verde, Sándalo"
In Hindsight,Pesade,"Rosas, Fresco especiado, Aromático, Atalcado, Afrutados, Dulce, Amaderado, Florales, Almizclado, Herbal","Frambuesa, Durazno (melocotón), Geranio, Rosa, Orquídea, Azucena, Iris, Almizcle, Sándalo, Ámbar, Madera de gaiac"
Inimitable,Fragrance World,"Amaderado, Cítrico, Aromático, Ahumado, Atalcado, Balsámico, Cálido especiado","Bergamota, Jazmín, Cedro, Incienso, Vetiver, Sándalo, Ambroxan"
Inimitable Extrait De Parfum,Maiora Parfum,"Amaderado, Ámbar, Ahumado, Afrutados, Fresco especiado, Cálido especiado, Cuero, Balsámico, Dulce, Iris","Frambuesa, Jengibre, Ruibarbo, Iris, Cardamomo, Alcaravea, Noche floreciendo jazmín, Madera de cachemira, Bálsamo de gurjum, Abedul, Ámbar, Incienso, Cedro del himalaya"
