Perfume,Marca,Acordes,Notas
Un Jardin En Mediterranee,Hermes,"Aromático, Amaderado, Cítrico, Verde, Fresco especiado","White nerium oleander, Ciprés, Almizcle, Enebro, Flor de azahar del naranjo, Cedro rojo, Mandarin orange, Limón (lima ácida), Hoja de higuera, Bergamota, Pistacho"
Un Jardin Mystique,Brocard,"Cítrico, Verde, Aromático, Floral blanco, Fresco especiado, Florales, Fresco, Amaderado","Cidra, Menta, Bergamota, Caléndula, Mandarina, Lirio de los valles (muguete), Magnolia, Rosa, Notas amaderadas, Almizcle, Vetiver, Sándalo"
Un Jardin Sur La Lagune,Hermès,"Floral blanco, Marino, Florales, Amaderado, Aromático, Salado, Acuático, Cítrico, Especiado suave","Notas marinas, Magnolia, Notas amaderadas, Azucena, Azahar de la china"
Un Jardin Sur Le Nil,Hermes,"Cítrico, Aromático, Florales, Fresco especiado, Verde","Almizcle, Canela, Naranja, Bulrush, Peonía, Lotus, Hiacynth, Incense, Toronja (pomelo), Iris, Zanahoria, Tomate, Green mango, Ládano"
Un Jardin Sur Le Nil,Hermès,"Cítrico, Aromático, Florales, Fresco especiado, Verde, Afrutados, Tropical, Atalcado, Herbal, Dulce","Toronja (pomelo), Mango verde, Tomate, Zanahoria, Flor de loto, Espadaña, Naranja, Jacinto, Peonía, Almizcle, Iris, Incienso, Ládano, Canela"
Un Jardin Sur Le Toit,Hermès,"Verde, Fresco, Afrutados, Rosas, Florales, Dulce, Aromático, Fresco especiado, Acuático","Hierba, Manzana roja, Rosa, Pera, Romero, Magnolia"
Un Je Ne Sais Quoi,Margot&Tita,"Cítrico, Aromático, Verde, Fresco especiado, Fresco","Bergamota, Limón (lima ácida), Jengibre, Té, Cilantro, Tomillo, Menta, Almizcle, Jazmín, Peonía"
Un Jour,Charles Jourdan,"Floral blanco, Florales, Amaderado, Afrutados, Verde, Dulce, Fresco, Cítrico, Aldehídico, Almizclado","Aldehídos, Durazno (melocotón), Casis (grosellero negro), Piña, Limón de amalfi (lima de amalfi), Mandarina, Jacinto, Jazmín, Azucena, Magnolia, Ylang-ylang, Almizcle, Musgo de roble, Palisandro, Sándalo"
Un Jour A Ainhoa,Parfums Et Senteurs Du Pays Basque,"Florales, Verde, Fresco","Notas florales, Hierba, Notas verdes"
Un Jour A Bayonne,Parfums Et Senteurs Du Pays Basque,"Fresco especiado, Aromático, Verde, Especiado suave, Cítrico, Lavanda, Fresco, Amaderado","Menta, Romero, Lavanda, Alcaravea, Toronja (pomelo), Hojas de higuera, Pimienta, Hinojo, Regaliz, Semillas de apio"
Un Jour A Bearn,Parfums Et Senteurs Du Pays Basque,"Florales, Almizclado, Cálido especiado, Atalcado, Animálico","Notas especiadas, Notas florales, Almizcle, Trigo"
Un Jour A Biarritz,Parfums Et Senteurs Du Pays Basque,"Amaderado, Floral blanco, Atalcado, Afrutados, Avainillado, Iris, Aromático, Cítrico, Florales, Dulce","Grosellas negras, Bergamota, Rosa, Madreselva, Haba tonka, Iris, Jazmín, Vainilla, Sándalo, Almizcle, Cedro"
Un Jour A Cassis,L'Eau De Cassis,"Ámbar, Almizclado, Atalcado, Animálico, Especiado suave","Ámbar, Almizcle blanco"
Un Jour A Hossegor,Parfums Et Senteurs Du Pays Basque,"Cítrico, Fresco, Cálido especiado, Verde, Fresco especiado","Cítricos, Notas especiadas, Notas verdes"
Un Jour A Moscou,Parfums Et Senteurs Du Pays Basque,"Florales, Amaderado, Verde","Notas florales, Notas amaderadas, Notas verdes, Cítricos"
Un Jour A Quebec,Parfums Et Senteurs Du Pays Basque,"Verde, Terrosos, Amaderado, Cálido especiado, Herbal, Fresco especiado","Heno, Notas especiadas, Tintura de tierra, Notas amaderadas"
